periodo,variable
2005/01,1658771
2005/02,1503565
2005/03,1665306
2005/04,1381816
2006/01,1565076
2006/02,1399238
2006/03,1813525
2006/04,1638387
2007/01,1755167
2007/02,1489721
2007/03,1729897
2007/04,1594805
2008/01,1772176
2008/02,1584043
2008/03,1902210
2008/04,1924693
2009/01,2309209
2009/02,2384320
2009/03,2947287
2009/04,2518112
2010/01,2503613
2010/02,2501640
2010/03,2694395
2010/04,2523823
2011/01,2462764
2011/02,2549143
2011/03,2734954
2011/04,2424585
2012/01,2426676
2012/02,2437097
2012/03,2608598
2012/04,2456827
2013/01,2454027
2013/02,2559478
2013/03,2683554
2013/04,2388252
2014/01,2443010
2014/02,2499511
2014/03,2699998
2014/04,2250882
2015/01,2168178
2015/02,2252239
2015/03,2404478
2015/04,2203551
2016/01,2112148
2016/02,2069571
2016/03,2145512
2016/04,1881990
2017/01,1795510
2017/02,1848286
2017/03,1905789
2017/04,1809658
2018/01,1683631
2018/02,1834230
2018/03,1907532
2018/04,1813522
2019/01,1863594
2019/02,1997895
2019/03,2127668
2019/04,1932597
2020/01,1956517
2020/02,2263780.66666667
2020/03,2761078
2020/04,2529369
2021/01,2411863
2021/02,2425506
2021/03,2471216
2021/04,2150582
2022/01,2006191
2022/02,1917742
2022/03,2040030
2022/04,1796103
2023/01,1597182
2023/02,1694442
2023/03,1825196
2023/04,1639021
2024/01,1542215
2024/02,1626449
2024/03,1842085
